"PlayerID","Player","POS.","AGE","BATS","THROWS","FROM","TO","YRS","DOLLARS","AVG..SALARY","H","RBI","HR","AVG","OPS","IP","ERA","WHIP","W","SV","WAR","dummy_Pos","dummy_Years","contract_value","dummy_salary","dummy_Age"
1286,"Shelby Miller","RP",32.1,"R","R","SF","LAD","1","$1,500,000 ","$1,500,000 ",NA,NA,NA,NA,NA,7,6.43,1.29,0,0,-0.19,1,1,1500000,1,2
1318,"Taijuan Walker","SP",30.2,"R","R","NYM","PHI","4","$72,000,000 ","$18,000,000 ",NA,NA,NA,NA,NA,157.3,3.49,1.2,12,NA,2.27,1,2,1.8e+07,3,2
1332,"Taylor Rogers","RP",32,"L","L","MIL","SF","3","$33,000,000 ","$11,000,000 ",NA,NA,NA,NA,NA,64.3,4.76,1.18,4,31,-0.19,1,2,1.1e+07,3,2
1353,"Tommy La Stella","2B",33.9,"L","R","SF","SEA","1","$720,000 ","$720,000 ",43,14,2,0.239,0.634,NA,NA,NA,NA,NA,-0.73,2,1,720000,1,2
1356,"Tommy Pham","LF",34.8,"R","R","BOS","NYM","1","$6,000,000 ","$6,000,000 ",131,63,17,0.236,0.686,NA,NA,NA,NA,NA,0.64,3,1,6e+06,3,3
1380,"Trevor May","RP",33.2,"R","R","NYM","OAK","1","$7,000,000 ","$7,000,000 ",NA,NA,NA,NA,NA,25,5.04,1.44,2,1,-0.18,1,1,7e+06,3,2
1386,"Trevor Williams","RP",30.6,"R","R","NYM","WSH","2","$13,000,000 ","$6,500,000 ",NA,NA,NA,NA,NA,89.7,3.21,1.23,3,1,1.3,1,2,6500000,3,2
1388,"Trey Mancini","OF",30.8,"R","R","HOU","CHC","2","$14,000,000 ","$7,000,000 ",124,63,18,0.239,0.71,NA,NA,NA,NA,NA,1.87,3,2,7e+06,3,2
1391,"Tucker Barnhart","C",31.9,"L","R","DET","CHC","2","$6,500,000 ","$3,250,000 ",62,16,1,0.221,0.554,1,NA,NA,NA,NA,-0.08,2,2,3250000,1,2
1434,"Wade Miley","SP",36.1,"L","L","CHC","MIL","1","$4,500,000 ","$4,500,000 ",NA,NA,NA,NA,NA,37,3.16,1.22,2,NA,0.03,1,1,4500000,2,3
1443,"Wil Myers","1B",32,"R","R","SD","CIN","1","$7,500,000 ","$7,500,000 ",68,41,7,0.261,0.713,3.7,NA,NA,NA,NA,0.9,2,1,7500000,3,2
1491,"Zach Davies","SP",29.8,"R","R","ARI","ARI","1","$5,000,000 ","$5,000,000 ",NA,NA,NA,NA,NA,134.3,4.09,1.3,2,NA,0.61,1,1,5e+06,2,2
1492,"Zach Eflin","SP",28.6,"R","R","PHI","TB","3","$40,000,000 ","$13,333,333 ",NA,NA,NA,NA,NA,75.7,4.04,1.12,3,NA,0.94,1,2,13333333,3,2
1502,"Zack Greinke","SP",39.2,"R","R","KC","KC","1","$8,500,000 ","$8,500,000 ",NA,NA,NA,NA,NA,137,3.68,1.34,4,NA,2.45,1,1,8500000,3,3
1546,"Stone Garrett","LF",27,"R","R","ARI","WSH","1","$720,000 ","$720,000 ",21,10,4,0.276,0.848,NA,NA,NA,NA,NA,0.56,3,1,720000,1,2
1607,"Jackson Stephens","RP",28.6,"R","R","ATL","ATL","1","$740,000 ","$740,000 ",NA,NA,NA,NA,NA,53.7,3.69,1.34,3,2,0.18,1,1,740000,1,2
1732,"Mike Clevinger","SP",31.9,"R","R","SD","CHW","1","$12,000,000 ","$12,000,000 ",NA,NA,NA,NA,NA,114.3,4.33,1.2,7,NA,0.62,1,1,1.2e+07,3,2
1769,"Trevor Gott","RP",30.2,"R","R","MIL","SEA","1","$1,200,000 ","$1,200,000 ",NA,NA,NA,NA,NA,45.7,4.14,1.03,3,0,-0.03,1,1,1200000,1,2
1788,"Tommy Kahnle","RP",33.2,"R","R","LAD","NYY","2","$11,500,000 ","$5,750,000 ",NA,NA,NA,NA,NA,12.7,2.84,0.63,0,1,0.31,1,2,5750000,3,2
1862,"Robert Suarez","RP",31.7,"","","SD","SD","5","$46,000,000 ","$9,200,000 ",NA,NA,NA,NA,NA,47.7,2.27,1.05,5,1,1.36,1,2,9200000,3,2
