"PlayerID","Player","POS.","AGE","BATS","THROWS","FROM","TO","YRS","DOLLARS","AVG..SALARY","H","RBI","HR","AVG","OPS","IP","ERA","WHIP","W","SV","WAR","dummy_Pos","dummy_Years","contract_value","dummy_salary","dummy_Age"
985,"Matt Strahm","RP",30.3,"R","L","SD","BOS",1,"$3,000,000 ",3e+06,NA,NA,NA,NA,NA,6.7,8.1,2.4,0,0,-0.18,1,1,3e+06,1,2
997,"Max Scherzer","SP",37.3,"R","R","LAD","NYM",3,"$130,000,000 ",43333333,NA,1,NA,NA,NA,179.3,2.46,0.86,15,NA,3.24,1,2,43333333,3,3
1007,"Michael Hermosillo","CF",26.8,"R","R","CHC","CHC",1,"$707,000 ",707000,7,7,3,0.194,0.737,NA,NA,NA,NA,NA,0.12,3,1,707000,1,2
1010,"Michael Lorenzen","SP",29.8,"R","R","CIN","LAA",1,"$6,750,000 ",6750000,NA,NA,NA,NA,NA,29,5.59,1.38,1,NA,-0.06,1,1,6750000,3,2
1011,"Michael Pineda","SP",33.2,"R","R","MIN","DET",1,"$5,500,000 ",5500000,NA,NA,NA,NA,NA,109.3,3.62,1.24,9,NA,1.55,1,1,5500000,3,2
1014,"Michael Wacha","SP",30.3,"R","R","TB","BOS",1,"$7,000,000 ",7e+06,NA,NA,NA,NA,NA,124.7,5.05,1.31,3,NA,-0.61,1,1,7e+06,3,2
1050,"Mychal Givens","RP",31.8,"R","R","CIN","CHC",1,"$5,000,000 ",5e+06,NA,NA,NA,NA,NA,51,3.35,1.37,4,8,1.11,1,1,5e+06,2,2
1058,"Nelson Cruz","DH",41.7,"R","R","TB","WSH",1,"$15,000,000 ",1.5e+07,136,86,32,0.265,0.831,NA,NA,NA,NA,NA,2.05,4,1,1.5e+07,3,3
1063,"Nick Castellanos","DH",30,"R","R","CIN","PHI",5,"$100,000,000 ",2e+07,164,100,34,0.309,0.939,NA,NA,NA,NA,NA,3.24,4,2,2e+07,3,2
1083,"Nick Wittgren","RP",30.8,"R","R","CLE","STL",1,"$1,200,000 ",1200000,NA,NA,NA,NA,NA,62.3,5.05,1.24,2,1,-0.03,1,1,1200000,1,2
1087,"Niko Goodrum","2B",30,"","R","DET","HOU",1,"$2,100,000 ",2100000,62,33,9,0.214,0.651,NA,NA,NA,NA,NA,0.03,2,1,2100000,1,2
1089,"Noah Syndergaard","SP",29.2,"L","R","NYM","LAA",1,"$21,000,000 ",2.1e+07,NA,NA,NA,NA,NA,2,9,1.5,0,NA,-0.1,1,1,2.1e+07,3,2
1093,"Odubel Herrera","CF",30.2,"L","R","PHI","PHI",1,"$1,750,000 ",1750000,117,51,13,0.26,0.726,NA,NA,NA,NA,NA,1.78,3,1,1750000,1,2
1126,"Pedro Severino","C",28.3,"R","R","BAL","MIL",1,"$1,900,000 ",1900000,94,46,11,0.248,0.691,NA,NA,NA,NA,NA,0.95,2,1,1900000,1,2
1147,"Raisel Iglesias","RP",31.8,"R","R","LAA","LAA",4,"$58,000,000 ",14500000,NA,NA,NA,NA,NA,70,2.57,0.93,7,34,2.79,1,2,14500000,3,2
