PlayerID,Player
1141,Rafael Devers
1142,Rafael Dolis
1143,Rafael Marchan
1144,Rafael Montero
1145,Rafael Ortega
1146,Raimel Tapia
1147,Raisel Iglesias
1148,Ralph Garza
1149,Ramon Laureano
1150,Ramon Rosso
1151,Ramon Urias
1152,Randal Grichuk
1153,Randy Arozarena
1154,Randy Dobnak
1155,Ranger Suarez
1156,Raynel Espinal
1157,Reese McGuire
1158,Reid Detmers
1159,Reiss Knehr
1160,Reiver Sanmartin
1161,Renato Nunez
1162,Rene Rivera
1163,Rex Brothers
1164,Reyes Moronta
1165,Reymin Guduan
1166,Reynaldo Lopez
1167,Rhys Hoskins
1168,Rich Hill
1169,Richard Bleier
1170,Richard Lovelady
1171,Richard Rodriguez
1172,Richie Martin
1173,Riley Adams
1174,Riley O'Brien
1175,Riley Smith
1176,Rio Ruiz
1177,Roansy Contreras
1178,Rob Brantly
1179,Rob Refsnyder
1180,Robbie Grossman
1181,Robbie Ray
1182,Robel Garcia
1183,Robert Dugger
1184,Robert Gsellman
1185,Robert Stephenson
1186,Robert Stock
1187,Roberto Perez
1188,Robinson Chirinos
1189,Rodolfo Castro
1190,Roel Ramirez
1191,Roman Quinn
1192,Romy Gonzalez
1193,Ronald Acuna Jr.
1194,Ronald Bolanos
1195,Ronald Guzman
1196,Ronald Torreyes
1197,Ronnie Dawson
1198,Rony Garcia
1199,Ross Detwiler
1200,Ross Stripling
1201,Rougned Odor
1202,Rowan Wick
1203,Rowdy Tellez
1204,Ryan Borucki
1205,Ryan Brasier
1206,Ryan Buchter
1207,Ryan Burr
1208,Ryan Castellani
1209,Ryan Dorow
1210,Ryan Feltner
1211,Ryan Hartman
1212,Ryan Helsley
1213,Ryan Hendrix
1214,Ryan Jeffers
1215,Ryan LaMarre
1216,Ryan Lavarnway
1217,Ryan McBroom
1218,Ryan McKenna
1219,Ryan McMahon
1220,Ryan Meisinger
1221,Ryan Mountcastle
1222,Ryan O'Hearn
1223,Ryan Pressly
1224,Ryan Sherriff
1225,Ryan Tepera
1226,Ryan Thompson
1227,Ryan Vilade
1228,Ryan Weathers
1229,Ryan Weber
1230,Ryan Yarbrough
1231,Ryan Zimmerman
1232,Ryne Harper
1233,Ryne Stanek
1234,Sal Romano
1235,Salvador Perez
1236,Sam Clay
1237,Sam Coonrod
1238,Sam Haggerty
1239,Sam Hentges
1240,Sam Hilliard
1241,Sam Howard
1242,Sam Long
1243,Sam Moll
1244,Sam Selman
1245,Sandy Alcantara
1246,Sandy Leon
1247,Santiago Espinal
1248,Scott Alexander
1249,Scott Barlow
1250,Scott Blewett
1251,Scott Effross
1252,Scott Heineman
1253,Scott Hurst
1254,Scott Kazmir
1255,Scott Kingery
1256,Scott Schebler
1257,Sean Doolittle
1258,Sean Guenther
1259,Sean Kazmar Jr.
1260,Sean Manaea
1261,Sean Murphy
1262,Sean Newcomb
1263,Sean Nolin
1264,Sean Poppen
1265,Sean Reid-Foley
1266,Sebastian Rivero
1267,Seby Zavala
1268,Seranthony Dominguez
1269,Sergio Alcantara
1270,Sergio Romo
1271,Seth Beer
1272,Seth Brown
1273,Seth Elledge
1274,Seth Frankoff
1275,Seth Lugo
1276,Seth Martinez
1277,Shane Baz
1278,Shane Bieber
1279,Shane Greene
1280,Shane McClanahan
1281,Shaun Anderson
1282,Shawn Armstrong
1283,Shawn Morimando
1284,Shea Spitzbarth
1285,Shed Long Jr.
1286,Shelby Miller
1287,Sheldon Neuse
1288,Shogo Akiyama
1289,Shohei Ohtani
1290,Skye Bolt
1291,Sonny Gray
1292,Spencer Howard
