"PlayerID","Player","Pos","Age","Bats","Throws","BaseSalary","Team","dummy_Pos","contract_value","dummy_salary","dummy_age"
286,"Clay Holmes","RP/CL",29,"","R","$1,100,000 "," NYY",1,1100000,1,2
287,"Clayton Kershaw","SP",34,"","L","$14,500,000 "," LAD",1,14500000,3,2
289,"Codi Heuer","RP",25,"","R","$734,000 "," CHC",1,734000,1,1
290,"Cody Bellinger","CF",26,"L","","$17,000,000 "," LAD",3,1.7e+07,3,2
292,"Cody Poteet","RP",27,"","R","$704,000 "," MIA",1,704000,1,2
294,"Cody Stashak","RP",28,"","R","$720,400 "," MIN",1,720400,1,2
296,"Cole Irvin","SP",28,"","L","$705,000 "," OAK",1,705000,1,2
301,"Collin McHugh","RP",35,"","R","$4,000,000 "," ATL",1,4e+06,2,3
303,"Colton Welker","3B",24,"R","","$700,000 "," SF",2,7e+05,1,1
306,"Connor Brogdon","RP",27,"","R","$715,000 "," PHI",1,715000,1,2
307,"Connor Joe","LF",29,"R","","$702,000 "," COL",3,702000,1,2
308,"Connor Overton","RP",28,"","R","$700,000 "," CIN",1,7e+05,1,2
310,"Connor Wong","C",26,"R","","$700,000 "," BOS",2,7e+05,1,2
312,"Corbin Burnes","SP",27,"","R","$6,500,000 "," MIL",1,6500000,3,2
314,"Corey Dickerson","LF",33,"L","","$5,000,000 "," STL",3,5e+06,3,2
315,"Corey Kluber","SP",36,"","R","$8,000,000 "," TB",1,8e+06,3,3
316,"Corey Knebel","RP",30,"","R","$10,000,000 "," PHI",1,1e+07,3,2
319,"Corey Seager","SS",28,"L","","$32,500,000 "," TEX",2,32500000,3,2
320,"Cory Abbott","SP",26,"","R","$700,000 "," WSH",1,7e+05,1,2
321,"Craig Kimbrel","RP/CL",34,"","R","$16,000,000 "," LAD",1,1.6e+07,3,2
322,"Craig Stammen","RP",38,"","R","$4,000,000 "," SD",1,4e+06,2,3
323,"Cristian Javier","SP",25,"","R","$749,100 "," HOU",1,749100,1,1
324,"Cristian Pache","CF",23,"R","","$710,000 "," OAK",3,710000,1,1
326,"Curt Casali","C",33,"R","","$2,600,000 "," SEA",2,2600000,1,2
328,"Cesar Hernandez","2B",32,"","","$4,000,000 "," WSH",2,4e+06,2,2
331,"DJ LeMahieu","3B",33,"R","","$15,000,000 "," NYY",2,1.5e+07,3,2
336,"Damon Jones","RP",27,"","L","$700,000 "," PHI",1,7e+05,1,2
339,"Dane Dunning","SP",27,"","R","$714,000 "," TEX",1,714000,1,2
340,"Daniel Bard","RP",37,"","R","$4,400,000 "," COL",1,4400000,3,3
342,"Daniel Castano","SP",27,"","L","$705,000 "," MIA",1,705000,1,2
343,"Daniel Hudson","RP/CL",35,"","R","$6,000,000 "," LAD",1,6e+06,3,3
345,"Daniel Lynch IV","SP",25,"","L","$703,600 "," KC",1,703600,1,1
346,"Daniel Norris","RP",29,"","L","$700,000 "," DET",1,7e+05,1,2
349,"Daniel Vogelbach","DH",29,"L","","$800,000 "," NYM",4,8e+05,1,2
351,"Danny Coulombe","RP",32,"","L","$979,500 "," MIN",1,979500,1,2
352,"Danny Duffy","RP",33,"","L","$3,000,000 "," LAD",1,3e+06,1,2
353,"Danny Jansen","C",27,"R","","$1,950,000 "," TOR",2,1950000,1,2
354,"Danny Mendick","2B",28,"R","","$714,000 "," CHW",2,714000,1,2
356,"Dansby Swanson","SS",28,"R","","$10,000,000 "," ATL",2,1e+07,3,2
358,"Darin Ruf","DH",35,"R","","$3,000,000 "," NYM",4,3e+06,1,3
360,"Darren O'Day","RP",39,"","R","$1,000,000 "," ATL",1,1e+06,1,3
361,"Darwinzon Hernandez","RP",25,"","L","$700,000 "," BOS",1,7e+05,1,1
363,"Daulton Varsho","CF",25,"L","","$721,700 "," ARI",3,721700,1,1
365,"David Bednar","RP/CL",27,"","R","$715,000 "," PIT",1,715000,1,2
366,"David Bote","2B",29,"R","","$2,500,000 "," CHC",2,2500000,1,2
368,"David Fletcher","SS",28,"R","","$4,000,000 "," LAA",2,4e+06,2,2
372,"David Peralta","LF",34,"L","","$8,000,000 "," TB",3,8e+06,3,2
373,"David Peterson","RP",26,"","L","$700,000 "," NYM",1,7e+05,1,2
374,"David Phelps","RP",35,"","R","$1,750,000 "," TOR",1,1750000,1,3
375,"David Price","RP",36,"","L","$32,000,000 "," LAD",1,3.2e+07,3,3
376,"David Robertson","RP/CL",37,"","R","$3,500,000 "," PHI",1,3500000,1,3
378,"Dean Kremer","SP",26,"","R","$705,500 "," BAL",1,705500,1,2
383,"Dennis Santana","RP",26,"","R","$720,000 "," TEX",1,720000,1,2
384,"Deolis Guerra","RP",33,"","R","$815,000 "," OAK",1,815000,1,2
388,"Derek Law","RP",31,"","R","$700,000 "," CIN",1,7e+05,1,2
391,"Devin Williams","RP/CL",27,"","R","$714,500 "," MIL",1,714500,1,2
394,"Diego Castillo","RP",28,"","R","$2,150,000 "," SEA",1,2150000,1,2
394,"Diego Castillo","2B",28,"R","","$700,000 "," PIT",2,7e+05,1,2
398,"Dillon Tate","RP",28,"","R","$711,500 "," BAL",1,711500,1,2
400,"Dinelson Lamet","RP",29,"","R","$4,775,000 "," COL",1,4775000,3,2
403,"Domingo German","SP",29,"","R","$1,750,000 "," NYY",1,1750000,1,2
408,"Donovan Solano","2B",34,"R","","$4,500,000 "," CIN",2,4500000,3,2
409,"Donovan Walton","SS",28,"L","","$700,000 "," SF",2,7e+05,1,2
415,"Drew Pomeranz","RP",33,"","L","$8,000,000 "," SD",1,8e+06,3,2
416,"Drew Rasmussen","SP",26,"","R","$711,800 "," TB",1,711800,1,2
417,"Drew Smith","RP",28,"","R","$750,000 "," NYM",1,750000,1,2
418,"Drew Smyly","SP",33,"","L","$4,250,000 "," CHC",1,4250000,3,2
420,"Duane Underwood Jr.","RP",27,"","R","$725,000 "," PIT",1,725000,1,2
424,"Dustin May","SP",24,"","R","$730,000 "," LAD",1,730000,1,1
425,"Dylan Bundy","SP",29,"","R","$4,000,000 "," MIN",1,4e+06,2,2
426,"Dylan Carlson","RF",23,"","","$703,000 "," STL",3,703000,1,1
427,"Dylan Cease","SP",26,"","R","$750,000 "," CHW",1,750000,1,2
428,"Dylan Coleman","RP",25,"","R","$700,650 "," KC",1,700650,1,1
429,"Dylan Floro","RP/CL",31,"","R","$3,000,000 "," MIA",1,3e+06,1,2
430,"Dylan Lee","RP",27,"","L","$700,000 "," ATL",1,7e+05,1,2
431,"Dylan Moore","2B",29,"R","","$1,350,000 "," SEA",2,1350000,1,2
432,"Eddie Rosario","LF",30,"L","","$9,000,000 "," ATL",3,9e+06,3,2
436,"Edmundo Sosa","SS",26,"R","","$715,600 "," PHI",2,715600,1,2
438,"Eduardo Escobar","3B",33,"","","$10,000,000 "," NYM",2,1e+07,3,2
439,"Eduardo Rodriguez","SP",29,"","L","$14,000,000 "," DET",1,1.4e+07,3,2
440,"Edward Cabrera","SP",24,"","R","$700,000 "," MIA",1,7e+05,1,1
441,"Edward Olivares","OF",26,"R","","$705,500 "," KC",3,705500,1,2
442,"Edwin Diaz","RP/CL",28,"","R","$10,200,000 "," NYM",1,10200000,3,2
445,"Ehire Adrianza","SS",32,"","","$1,500,000 "," ATL",2,1500000,1,2
446,"Eli Morgan","RP",26,"","R","$702,100 "," CLE",1,702100,1,2
447,"Eli White","OF",28,"R","","$714,000 "," TEX",3,714000,1,2
448,"Elias Diaz","C",31,"R","","$3,000,000 "," COL",2,3e+06,1,2
449,"Elieser Hernandez","RP",27,"","R","$1,325,000 "," MIA",1,1325000,1,2
450,"Eloy Jimenez","LF",25,"R","","$6,500,000 "," CHW",3,6500000,3,1
451,"Elvis Andrus","SS",33,"R","","$700,000 "," CHW",2,7e+05,1,2
453,"Emilio Pagan","RP",31,"","R","$2,300,000 "," MIN",1,2300000,1,2
454,"Emmanuel Clase","RP/CL",24,"","R","$1,500,000 "," CLE",1,1500000,1,1
455,"Emmanuel Rivera","3B",26,"R","","$700,000 "," ARI",2,7e+05,1,2
459,"Erasmo Ramirez","RP",32,"","R","$700,000 "," WSH",1,7e+05,1,2
461,"Eric Haase","C",29,"R","","$710,400 "," DET",2,710400,1,2
464,"Eric Lauer","SP",27,"","L","$2,425,000 "," MIL",1,2425000,1,2
468,"Erick Fedde","SP",29,"","R","$2,150,000 "," WSH",1,2150000,1,2
470,"Erik Swanson","RP",28,"","R","$711,600 "," SEA",1,711600,1,2
471,"Ernie Clement","2B",26,"R","","$700,800 "," OAK",2,700800,1,2
474,"Eugenio Suarez","3B",30,"R","","$11,000,000 "," SEA",2,1.1e+07,3,2
475,"Evan Longoria","3B",36,"R","","$19,500,000 "," SF",2,19500000,3,3
477,"Evan Phillips","RP/CL",27,"","R","$720,000 "," LAD",1,720000,1,2
480,"Fernando Tatis Jr.","SS",23,"R","","$5,000,000 "," SD",2,5e+06,3,1
481,"Framber Valdez","SP",28,"","L","$3,000,000 "," HOU",1,3e+06,1,2
482,"Franchy Cordero","1B",27,"L","","$825,000 "," BOS",2,825000,1,2
483,"Francisco Lindor","SS",28,"","","$32,000,000 "," NYM",2,3.2e+07,3,2
484,"Francisco Mejia","C",26,"","","$1,455,000 "," TB",2,1455000,1,2
487,"Frankie Montas","SP",29,"","R","$5,025,000 "," NYY",1,5025000,3,2
488,"Franmil Reyes","DH",26,"R","","$4,550,000 "," CHC",4,4550000,3,2
489,"Freddie Freeman","1B",32,"L","","$27,000,000 "," LAD",2,2.7e+07,3,2
491,"Freddy Peralta","SP",26,"","R","$2,250,000 "," MIL",1,2250000,1,2
495,"Garrett Cleavinger","RP",28,"","L","$710,000 "," TB",1,710000,1,2
496,"Garrett Cooper","DH",31,"R","","$2,500,000 "," MIA",4,2500000,1,2
497,"Garrett Crochet","RP",23,"","L","$715,000 "," CHW",1,715000,1,1
498,"Garrett Hampson","SS",27,"R","","$1,862,500 "," COL",2,1862500,1,2
500,"Garrett Stubbs","C",29,"L","","$704,500 "," PHI",2,704500,1,2
501,"Garrett Whitlock","RP",26,"","R","$720,000 "," BOS",1,720000,1,2
502,"Gary Sanchez","C",29,"R","","$9,000,000 "," MIN",2,9e+06,3,2
503,"Gavin Lux","2B",24,"L","","$720,000 "," LAD",2,720000,1,1
504,"Gavin Sheets","DH",26,"L","","$706,000 "," CHW",4,706000,1,2
506,"George Springer","CF",32,"R","","$28,000,000 "," TOR",3,2.8e+07,3,2
507,"Geraldo Perdomo","SS",22,"","","$701,300 "," ARI",2,701300,1,1
509,"German Marquez","SP",27,"","R","$11,000,000 "," COL",1,1.1e+07,3,2
510,"Gerrit Cole","SP",31,"","R","$36,000,000 "," NYY",1,3.6e+07,3,2
511,"Giancarlo Stanton","RF",32,"R","","$29,000,000 "," NYY",3,2.9e+07,3,2
512,"Gilberto Celestino","LF",23,"R","","$702,850 "," MIN",3,702850,1,1
513,"Gio Urshela","3B",30,"R","","$6,550,000 "," MIN",2,6550000,3,2
