"PlayerID","PLAYER","AGE","AVG. SALARY","H","RBI","HR","AVG","OPS","WAR","Predicted_Salary","Model_Error","Model_Difference"
300,"Marcus Semien",30.3,1.8e+07,47,23,7,0.223,0.679,0.37,2689411.45586819,0.850588252451767,1.48004099360586
80,"Carlos Santana",34.7,8750000,41,30,8,0.199,0.699,1.1,3278873.18441633,0.625271636066705,0.909665723747365
150,"Enrique Hernandez",29.3,7e+06,32,20,5,0.23,0.68,1.12,2641510.9897551,0.622641287177843,0.904109120422339
342,"Nelson Cruz",40.6,1.3e+07,56,33,16,0.303,0.992,1.84,4819810.76074588,0.629245326096471,0.918100573466665
26,"Andrelton Simmons",31.3,10500000,35,10,0,0.297,0.702,0.46,1587294.60706165,0.848829085041748,1.474722952104
283,"Kyle Schwarber",27.8,1e+07,36,24,11,0.188,0.701,0.08,3461878.80886254,0.653812119113746,0.971353446865549
366,"Robbie Grossman",31.2,5e+06,40,23,8,0.241,0.826,1.14,4195555.54756153,0.160888890487694,0.17496375249493
441,"Yadier Molina",38.5,9e+06,38,16,4,0.262,0.662,0.36,1503640.65989029,0.832928815567746,1.42738305371311
142,"Eddie Rosario",29.3,8e+06,54,42,13,0.257,0.792,1.15,3770143.71731007,0.528732035336242,0.718743353400042
222,"Joc Pederson",28.8,7e+06,23,16,7,0.19,0.682,-0.3,2631083.67759562,0.624130903200626,0.907253320323155
206,"Jason Castro",33.6,3500000,15,9,2,0.188,0.668,-0.02,2241794.50183726,0.359487285189355,0.438262113964595
272,"Kevin Pillar",32.1,3250000,60,26,6,0.288,0.798,0.69,2888894.49724012,0.111109385464579,0.117645124190431
63,"Brett Gardner",37.4,2575000,29,15,5,0.223,0.746,0.73,2716707.46438173,-0.0550320250026147,0.0535583137713338
6,"Adam Duvall",32.4,5e+06,45,33,16,0.237,0.833,0.86,4280072.09481904,0.143985581036191,0.155155670737274
82,"Cesar Hernandez",30.7,5e+06,66,20,3,0.283,0.763,1.83,3143142.30638191,0.371371538723619,0.45605433965285
238,"Jonathan Schoop",29.2,4500000,45,23,8,0.278,0.799,1.29,3233779.26401003,0.281382385775549,0.327451997985633
239,"Jonathan Villar",29.8,3550000,43,15,2,0.232,0.593,-0.04,1717541.49688373,0.516185493835569,0.695754747902925
55,"Brad Miller",31.2,3500000,33,25,7,0.232,0.808,0.86,3841855.01214634,-0.0976728606132402,0.0931249695290296
176,"Hunter Renfroe",28.8,3100000,19,22,8,0.156,0.645,-0.04,2946609.02469708,0.0494809597751353,0.0507361976527344
306,"Marwin Gonzalez",31.8,3e+06,37,22,5,0.211,0.606,0.19,1961370.85392954,0.346209715356822,0.418686357722218
335,"Mike Zunino",29.7,3e+06,11,10,4,0.147,0.598,-0.06,2417970.59208351,0.19400980263883,0.21485144595171
127,"David Dahl",26.7,2700000,17,9,0,0.183,0.469,-0.98,1118930.22212562,0.585581399212735,0.828017107363831
337,"Mitch Moreland",35.4,2250000,36,29,10,0.265,0.893,1.21,4073067.74827721,-0.810252332567648,0.576640270468057
439,"Wilson Ramos",33.4,2e+06,34,15,5,0.239,0.684,0.31,2058796.64259253,-0.0293983212962671,0.0289724505906648
212,"Jeff Mathis",37.8,1800000,10,9,3,0.161,0.576,0.48,1868923.51005317,-0.0382908389184304,0.0375715164757828
123,"Danny Santana",30.2,1750000,8,7,1,0.145,0.511,-0.08,1718324.72319023,0.0181001581770115,0.0182654620531809
43,"Asdrubal Cabrera",35.2,1750000,46,31,8,0.242,0.752,0.16,2663702.05720686,-0.522115461261061,0.414029785139181
350,"Nomar Mazara",25.8,1750000,31,15,1,0.228,0.589,-0.12,1700764.17715851,0.0281347559094209,0.0285361852121864
328,"Michael Taylor",29.7,1750000,18,16,5,0.196,0.677,-0.4,2284309.41671731,-0.305319666695605,0.264882715491898
204,"Jarrod Dyson",36.5,1500000,11,5,0,0.18,0.411,-0.61,754739.184835223,0.496840543443185,0.661061660858341
194,"Jake Marisnick",29.8,1500000,11,5,2,0.333,0.959,0.19,2586823.82310312,-0.724549215402082,0.531867225085273
18,"Alex Avila",33.9,1500000,9,2,1,0.184,0.641,0.45,2169927.71521285,-0.446618476808568,0.365090414416512
160,"Freddy Galvis",31.2,1500000,31,16,7,0.22,0.712,0.21,2625912.09390272,-0.750608062601816,0.545776094244275
