"Player","Pos","Age","Bats","Throws","BaseSalary","Team"
"Jose Leclerc","RP","29","","R","$6,000,000 "," TEX"
"Yan Gomes","C","35","R","","$6,000,000 "," CHC"
"Yandy Diaz","1B","31","R","","$6,000,000 "," TB"
"Joe Wendle","3B","33","L","","$6,000,000 "," MIA"
"David Fletcher","SS","29","R","","$6,000,000 "," LAA"
"Isiah Kiner-Falefa","SS","28","R","","$6,000,000 "," NYY"
"Brad Keller","SP","27","","R","$5,775,000 "," KC"
"Tommy Kahnle","RP","33","","R","$5,750,000 "," NYY"
"Dylan Cease","SP","27","","R","$5,700,000 "," CHW"
"Zac Gallen","SP","27","","R","$5,600,000 "," ARI"
"Kyle Farmer","SS","32","R","","$5,585,000 "," MIN"
"Cal Quantrill","SP","28","","R","$5,500,000 "," CLE"
"Andrew Chafin","RP/CL","33","","L","$5,500,000 "," MIL"
"Elias Diaz","C","32","R","","$5,500,000 "," COL"
"Pablo Lopez","SP","27","","R","$5,450,000 "," MIN"
"Jack Flaherty","SP","27","","R","$5,400,000 "," BAL"
"Lourdes Gurriel Jr.","LF","29","R","","$5,400,000 "," ARI"
"Tyler Glasnow","SP","29","","R","$5,350,000 "," TB"
"Nick Pivetta","RP","30","","R","$5,350,000 "," BOS"
"Scott Barlow","RP/CL","30","","R","$5,300,000 "," SD"
"Will Smith","C","28","R","","$5,250,000 "," LAD"
"Brandon Lowe","2B","28","L","","$5,250,000 "," TB"
"Pierce Johnson","RP","32","","R","$5,000,000 "," ATL"
"Collin McHugh","RP","36","","R","$5,000,000 "," ATL"
"Kyle Tucker","RF","26","L","","$5,000,000 "," HOU"
"Andrew McCutchen","RF","36","R","","$5,000,000 "," PIT"
"Yimi Garcia","RP","32","","R","$5,000,000 "," TOR"
"Austin Hedges","C","30","R","","$5,000,000 "," TEX"
"Jeimer Candelario","3B","29","","","$5,000,000 "," CHC"
"Tommy Pham","LF","35","R","","$5,000,000 "," ARI"
"Mitch Haniger","LF","32","R","","$5,000,000 "," SF"
"Michael Harris","CF","22","","","$5,000,000 "," ATL"
"Rowdy Tellez","1B","28","L","","$4,950,000 "," MIL"
"Tyler O'Neill","LF","28","R","","$4,950,000 "," STL"
"Luis Urias","3B","26","R","","$4,700,000 "," BOS"
"Harrison Bader","CF","29","R","","$4,700,000 "," CIN"
"Ji-Man Choi","1B","32","","","$4,650,000 "," SD"
"Logan Webb","SP","26","","R","$4,600,000 "," SF"
"Jordan Romano","RP/CL","30","","R","$4,537,500 "," TOR"
"Brooks Raley","RP","35","","L","$4,500,000 "," NYM"
"Giovanny Gallegos","RP","31","","R","$4,500,000 "," STL"
"Michael Taylor","CF","32","R","","$4,500,000 "," MIN"
"Jace Peterson","3B","33","L","","$4,500,000 "," ARI"
"Austin Meadows","DH","28","L","","$4,300,000 "," DET"
"A.J. Minter","RP","29","","L","$4,287,500 "," ATL"
"Jake Cronenworth","1B","29","L","","$4,225,000 "," SD"
"J.D. Davis","3B","30","R","","$4,210,000 "," SF"
"Garrett Cooper","1B","32","R","","$4,200,000 "," SD"
"Tommy Edman","SS","28","","","$4,200,000 "," STL"
"Randy Arozarena","LF","28","R","","$4,150,000 "," TB"
"Paul Sewald","RP/CL","33","","R","$4,100,000 "," ARI"
"Lou Trivino","RP","31","","R","$4,100,000 "," NYY"
"Ty France","1B","28","R","","$4,100,000 "," SEA"
"Cedric Mullins","CF","28","","","$4,100,000 "," BAL"
"Nate Lowe","1B","27","L","","$4,050,000 "," TEX"
"James Paxton","SP","34","","L","$4,000,000 "," BOS"
"Michael Wacha","SP","32","","R","$4,000,000 "," SD"
"Jeffrey Springs","SP","30","","L","$4,000,000 "," TB"
"Michael Fulmer","RP","30","","R","$4,000,000 "," CHC"
"Julio Rodriguez","CF","22","R","","$4,000,000 "," SEA"
"Sean Murphy","C","28","R","","$4,000,000 "," ATL"
"Martin Maldonado","C","36","R","","$4,000,000 "," HOU"
"Brad Miller","2B","33","L","","$4,000,000 "," TEX"
"Evan Longoria","3B","37","R","","$4,000,000 "," ARI"
"Gregory Soto","RP","28","","L","$3,925,000 "," PHI"
"Mitch Garver","C","32","R","","$3,900,000 "," TEX"
"Aaron Bummer","RP","29","","L","$3,750,000 "," CHW"
"Aroldis Chapman","RP","35","","L","$3,750,000 "," TEX"
"Tony Kemp","2B","31","L","","$3,725,000 "," OAK"
"Nicky Lopez","3B","28","L","","$3,700,000 "," ATL"
"Pete Fairbanks","RP/CL","29","","R","$3,666,666 "," TB"
"Reynaldo Lopez","RP","29","","R","$3,625,000 "," CLE"
"Adrian Houser","SP","30","","R","$3,600,000 "," MIL"
"Ryne Stanek","RP","31","","R","$3,600,000 "," HOU"
"Ramon Laureano","OF","28","R","","$3,550,000 "," CLE"
"Wade Miley","SP","36","","L","$3,500,000 "," MIL"
"Freddy Peralta","SP","27","","R","$3,500,000 "," MIL"
"Miguel Castro","RP","28","","R","$3,500,000 "," ARI"
"Emilio Pagan","RP","32","","R","$3,500,000 "," MIN"
"Luis Garcia","RP","36","","R","$3,500,000 "," SD"
"Austin Barnes","C","33","R","","$3,500,000 "," LAD"
"Danny Jansen","C","28","R","","$3,500,000 "," TOR"
"Matt Carpenter","3B","37","L","","$3,500,000 "," SD"
"Miguel Rojas","SS","34","R","","$3,500,000 "," LAD"
"Jose Alvarado","RP/CL","28","","L","$3,450,000 "," PHI"
"Devin Williams","RP/CL","28","","R","$3,350,000 "," MIL"
"Wandy Peralta","RP","31","","L","$3,350,000 "," NYY"
"Jacob Stallings","C","33","R","","$3,350,000 "," MIA"
"Josh Naylor","1B","26","L","","$3,350,000 "," CLE"
"Clay Holmes","RP/CL","30","","R","$3,300,000 "," NYY"
"Anthony Gonsolin","SP","29","","R","$3,250,000 "," LAD"
"Shintaro Fujinami","RP","29","","","$3,250,000 "," BAL"
"Nestor Cortes","SP","28","","L","$3,200,000 "," NYY"
"Austin Hays","LF","27","R","","$3,200,000 "," BAL"
"Austin Slater","LF","30","R","","$3,200,000 "," SF"
"Trent Grisham","CF","26","L","","$3,175,000 "," SD"
"Vincent Velasquez","SP","31","","R","$3,150,000 "," PIT"
"Adam Cimber","RP","32","","R","$3,150,000 "," TOR"
"Daulton Varsho","LF","26","L","","$3,050,000 "," TOR"
"Adalberto Mondesi","SS","27","","","$3,045,000 "," BOS"
"Jose Urquidy","RP","28","","R","$3,025,000 "," HOU"
"Cristian Javier","SP","26","","R","$3,000,000 "," HOU"
"Kenta Maeda","SP","35","","R","$3,000,000 "," MIN"
"Drew Rucinski","SP","34","","R","$3,000,000 "," OAK"
"Brent Suter","RP","33","","L","$3,000,000 "," COL"
"Ryan Yarbrough","RP","31","","L","$3,000,000 "," LAD"
"Luke Jackson","RP","31","","R","$3,000,000 "," SF"
"Drew VerHagen","RP","32","","R","$3,000,000 "," STL"
"Evan White","1B","27","R","","$3,000,000 "," SEA"
"Elvis Andrus","SS","34","R","","$3,000,000 "," CHW"
"Kevin Pillar","LF","34","R","","$3,000,000 "," ATL"
"John Means","SP","30","","L","$2,975,000 "," BAL"
"Brady Singer","SP","26","","R","$2,950,000 "," KC"
"Ranger Suarez","SP","27","","L","$2,950,000 "," PHI"
"Bo Bichette","SS","25","R","","$2,850,000 "," TOR"
"Tanner Scott","RP","28","","L","$2,825,000 "," MIA"
"Michael Soroka","SP","25","","R","$2,800,000 "," ATL"
"Jake Junis","RP","30","","R","$2,800,000 "," SF"
"Chris Stratton","RP","32","","R","$2,800,000 "," TEX"
"Victor Caratini","C","29","","","$2,800,000 "," MIL"
"Cavan Biggio","2B","28","L","","$2,800,000 "," TOR"
"Joe Jimenez","RP","28","","R","$2,765,000 "," ATL"
"Patrick Sandoval","SP","26","","L","$2,750,000 "," LAA"
"Taylor Ward","LF","29","R","","$2,750,000 "," LAA"
"Brendan Rodgers","2B","26","R","","$2,700,000 "," COL"
"Dakota Hudson","SP","28","","R","$2,650,000 "," STL"
"Domingo German","SP","30","","R","$2,600,000 "," NYY"
"Aaron Civale","SP","28","","R","$2,600,000 "," TB"
"Josh Rojas","3B","29","L","","$2,575,000 "," SEA"
"Phil Maton","RP","30","","R","$2,550,000 "," HOU"
"Nico Hoerner","2B","26","R","","$2,525,000 "," CHC"
"Chris Paddack","SP","27","","R","$2,500,000 "," MIN"
"Scott McGough","RP","33","","R","$2,500,000 "," ARI"
"Seranthony Dominguez","RP","28","","R","$2,500,000 "," PHI"
"Jarlin Garcia","RP","30","","L","$2,500,000 "," PIT"
"Curt Casali","C","34","R","","$2,500,000 "," CIN"
"Roberto Perez","C","34","R","","$2,500,000 "," SF"
"Myles Straw","CF","28","R","","$2,500,000 "," CLE"
"Jesus Luzardo","SP","25","","L","$2,450,000 "," MIA"
"Mitch Keller","SP","27","","R","$2,437,500 "," PIT"
"Caleb Thielbar","RP","36","","L","$2,400,000 "," MIN"
"Jose Trevino","C","30","R","","$2,360,000 "," NYY"
"Victor Robles","CF","26","R","","$2,325,000 "," WSH"
"Kyle Finnegan","RP/CL","31","","R","$2,325,000 "," WSH"
"John Brebbia","RP","33","","R","$2,300,000 "," SF"
"Orlando Arcia","2B","28","R","","$2,300,000 "," ATL"
"Luis Rengifo","SS","26","","","$2,300,000 "," LAA"
"Jose Cisnero","RP","34","","R","$2,287,500 "," DET"
"JT Brubaker","SP","29","","R","$2,275,000 "," PIT"
"Jonathan Loaisiga","RP","28","","R","$2,262,500 "," NYY"
"Chad Green","RP","32","","R","$2,250,000 "," TOR"
"C.J. Edwards","RP","31","","R","$2,250,000 "," WSH"
"Thairo Estrada","2B","27","R","","$2,250,000 "," SF"
"Kris Bubic","SP","25","","L","$2,200,000 "," KC"
"Lane Thomas","RF","27","R","","$2,200,000 "," WSH"
"Harold Ramirez","RF","28","R","","$2,200,000 "," TB"
"Ryan Helsley","RP/CL","28","","R","$2,150,000 "," STL"
"Tim Mayza","RP","31","","L","$2,100,000 "," TOR"
"Santiago Espinal","3B","28","R","","$2,100,000 "," TOR"
"Jon Berti","SS","33","R","","$2,100,000 "," MIA"
"Andrew Kittredge","RP","33","","R","$2,075,000 "," TB"
"Michael Kopech","SP","27","","R","$2,050,000 "," CHW"
"Brad Boxberger","RP","35","","R","$2,000,000 "," CHC"
"Dominic Smith","1B","28","L","","$2,000,000 "," WSH"
"Donovan Solano","2B","35","R","","$2,000,000 "," MIN"
"Dylan Moore","2B","30","R","","$2,000,000 "," SEA"
"Jorge Mateo","SS","28","R","","$2,000,000 "," BAL"
"Robbie Grossman","RF","33","","","$2,000,000 "," TEX"
"Wander Franco","SS","22","","","$2,000,000 "," TB"
"Nick Senzel","CF","28","R","","$1,950,000 "," CIN"
"Paul Blackburn","SP","29","","R","$1,900,000 "," OAK"
"Tyler Alexander","RP","28","","L","$1,875,000 "," DET"
"Tim Hill","RP","33","","L","$1,850,000 "," SD"
"Jordan Hicks","RP","26","","R","$1,837,500 "," TOR"
"Willi Castro","SS","26","","","$1,800,000 "," MIN"
"Jason Adam","RP","31","","R","$1,775,000 "," TB"
"Buck Farmer","RP","32","","R","$1,750,000 "," CIN"
"Robert Stephenson","RP","30","","R","$1,750,000 "," TB"
"Dustin May","SP","25","","R","$1,675,000 "," LAD"
