PLAYER,POS.,AGE,BATS,THROWS,FROM,TO,YRS,DOLLARS,AVG. SALARY,H,RBI,HR,AVG,OPS,IP,ERA,WHIP,W,SV,WAR
Martin Perez QO,SP,31.6,L,L,TEX,TEX,1,"$19,650,000 ","$19,650,000 ",,,,,,196.3,2.89,1.26,12,,5.17
Blake Perkins,RF,26.2,,,NYY,MIL,1,"$720,000 ","$720,000 ",,,,,,,,,,,
Jace Peterson,3B,32.5,L,R,MIL,OAK,2,"$9,500,000 ","$4,750,000 ",68,34,8,0.236,0.698,1,,,,,2.39
Tommy Pham,LF,34.8,R,R,BOS,NYM,1,"$6,000,000 ","$6,000,000 ",131,63,17,0.236,0.686,,,,,,0.64
Brett Phillips,RF,28.6,L,R,BAL,LAA,1,"$1,200,000 ","$1,200,000 ",29,15,5,0.144,0.466,4,,,,,0.23
A.J. Pollock,LF,35.1,R,R,CHW,SEA,1,"$7,000,000 ","$7,000,000 ",120,56,14,0.245,0.681,,,,,,0.86
Jurickson Profar,LF,30,,R,SD,COL,1,"$7,750,000 ","$7,750,000 ",140,58,15,0.243,0.722,,,,,,3.14
Jose Quintana,SP,33.8,R,L,STL,NYM,2,"$26,000,000 ","$13,000,000 ",,,,,,165.7,2.93,1.21,6,,1.98
Erasmo Ramirez,RP,32.6,R,R,WSH,WSH,1,"$1,000,000 ","$1,000,000 ",,,,,,86.3,2.92,1.08,4,0,1.36
Alex Reyes,RP,28.4,R,R,STL,LAD,1,"$1,100,000 ","$1,100,000 ",,,,,,,,,,,
Edwin Rios,3B,28.8,L,R,LAD,CHC,1,"$1,000,000 ","$1,000,000 ",21,17,7,0.244,0.793,,,,,,0.08
Anthony Rizzo QO,1B,33.2,L,L,NYY,NYY,2,"$40,000,000 ","$20,000,000 ",104,75,32,0.224,0.818,,,,,,2.32
David Robertson,RP,37.6,R,R,PHI,NYM,1,"$10,000,000 ","$10,000,000 ",,,,,,63.7,2.4,1.16,4,20,1.94
Carlos Rodon QO,SP,30,L,L,SF,NYY,6,"$162,000,000 ","$27,000,000 ",,,,,,178,2.88,1.03,14,,5.31
Joely Rodriguez,RP,31,L,L,NYM,BOS,1,"$2,000,000 ","$2,000,000 ",,,,,,50.3,4.47,1.35,2,0,-0.25
Taylor Rogers,RP,32,L,L,MIL,SF,3,"$33,000,000 ","$11,000,000 ",,,,,,64.3,4.76,1.18,4,31,-0.19
Drew Rucinski,SP,33.9,R,R,,OAK,1,"$3,000,000 ","$3,000,000 ",,,,,,,,,,,
Darin Ruf,1B,36.8,R,R,SF,MIL,1,"$720,000 ","$720,000 ",68,45,11,0.204,0.645,2,,,,,-0.52
Carlos Santana,1B,36.6,,R,SEA,PIT,1,"$6,725,000 ","$6,725,000 ",87,60,19,0.202,0.692,,,,,,0.73
Jean Segura,3B,32.8,R,R,PHI,MIA,2,"$17,000,000 ","$8,500,000 ",98,33,10,0.277,0.723,,,,,,1.86
Kodai Senga,SP,29.8,,,JPN,NYM,5,"$75,000,000 ","$15,000,000 ",,,,,,,,,,,
