,,Team1,Team1Acquired1,Team1Acquired2,Team1Acquired3,Team1Acquired4,Team1Acquired5,Team1Acquired6,Team2,Team2Acquired1,Team2Acquired2,Team2Acquired3,Team2Acquired4,Team2Acquired5,Team2Acquired6
24-Apr,2023,Oakland Athletics,Sammy Long (RP),,,,,,San Francisco Giants,cash considerations,,,,,
22-Apr,2023,Minnesota Twins,cash considerations,,,,,,Miami Marlins,Sean Nolin (RP),,,,,
19-Apr,2023,Oakland Athletics,cash considerations,,,,,,San Francisco Giants,Cal Stevenson (OF),,,,,
14-Apr,2023,Minnesota Twins,Alex De Goti (SS),,,,,,Miami Marlins,cash considerations,,,,,
9-Apr,2023,Cincinnati Reds,cash considerations,,,,,,Milwaukee Brewers,Bennett Sousa (RP),,,,,
9-Apr,2023,Chicago White Sox,cash considerations,,,,,,Arizona Diamondbacks,Jose Ruiz (RP),,,,,
31-Mar,2023,Seattle Mariners,Nick Solak (LF),,,,,,Cincinnati Reds,cash considerations,,,,,
31-Mar,2023,St. Louis Cardninals,cash considerations,,,,,,Arizona Diamondbacks,Anthony Misiewicz (RP),,,,,
31-Mar,2023,Tampa Bay Rays,cash considerations,,,,,,Detroit Tigers,Dillon Paulson (1B),,,,,
30-Mar,2023,New York Yankees,Colten Brewer (RP),,,,,,Tampa Bay Rays,cash considerations,,,,,
30-Mar,2023,Kansas City Royals,cash considerations,,,,,,San Francisco Giants,Matt Beaty (3B),,,,,
30-Mar,2023,Kansas City Royals,cash considerations,,,,,,Alanta Braves,Richard Lovelady (RP),,,,,
29-Mar,2023,Oakland Athletics,Billy Sullivan (P),,,,,,Philadelphia Phillies,Cristian Pache (CF),,,,,
29-Mar,2023,Tampa Bay Rays,cash considerations,,,,,,Detroit Tigers,Grant Witherspoon (OF),,,,,
29-Mar,2023,Tampa Bay Rays,Tony Locey (P),,,,,,Colorado Rockies,future considerations,,,,,
28-Mar,2023,Philadelphia Phillies,T.J. Zeuch (SP),,,,,,Colorado Rockies,TBD,,,,,
27-Mar,2023,Baltimore Orioles,Daniel Coulombe (RP),,,,,,Minnesota Twins,TBD,,,,,
27-Mar,2023,Detroit Tigers,Zach McKinstry (2B),,,,,,Chicago Cubs,Carlos Guzman (),,,,,
25-Mar,2023,Cincinnati Reds,Will Benson (OF),,,,,,Cleveland Gaurdians,Justin Boyd (OF),Steven Hajjar (P),,,,
23-Mar,2023,Philadelphia Phillies,Esteban Quiroz (2B),,,,,,Chicago Cubs,cash considerations,,,,,
20-Mar,2023,Tampa Bay Rays,future considerations,,,,,,Philadelphia Phillies,Jordan Qsar (OF),,,,,
15-Mar,2023,Tampa Bay Rays,Victor Castaneda (P),,,,,,Milwaukee Brewers,future considerations,,,,,
11-Mar,2023,Texas Rangers,Ricky DeVito (P),,,,,,Pittsburgh Pirates,Mark Mathias (2B),,,,,
11-Feb,2023,Oakland Athletics,J.J. Bleday (OF),,,,,,Miami Marlins,A.J. Puk (RP),,,,,
8-Feb,2023,Kansas City Royals,cash considerations,,,,,,St. Louis Cardninals,Anthony Misiewicz (RP),,,,,
3-Feb,2023,Boston Red Sox,Theo Denlinger (P),,,,,,Chicago White Sox,Frank German (RP),,,,,
30-Jan,2023,Boston Red Sox,Richard Bleier (RP),,,,,,Miami Marlins,"Matt Barnes (RP)($8,375,000)",,,,,
26-Jan,2023,Baltimore Orioles,Cole Irvin (SP),Kyle Virbitsky (P),,,,,Oakland Athletics,Darell Hernaiz (SS),,,,,
24-Jan,2023,Boston Red Sox,Adalberto Mondesi (SS)PTBNL,,,,,,Kansas City Royals,Josh Taylor (RP),,,,,
23-Jan,2023,Kansas City Royals,Evan Sisk (P),Steven Cruz,,,,,Minnesota Twins,Michael Taylor (CF),,,,,
20-Jan,2023,Minnesota Twins,Pablo Lopez (SP),Jose Salas (SS),Byron Chourio (OF),,,,Miami Marlins,Luis Arraez (2B),,,,,
17-Jan,2023,Boston Red Sox,future considerations,,,,,,Colorado Rockies,Connor Seabold (SP),,,,,
11-Jan,2023,Los Angeles Dodgers,"Miguel Rojas (SS)($4,500,000)",,,,,,Miami Marlins,Jacob Amaya (SS),,,,,
11-Jan,2023,Baltimore Orioles,Darwinzon Hernandez (RP),,,,,,Boston Red Sox,cash considerations,,,,,
10-Jan,2023,Minnesota Twins,A.J. Alexy (SP),,,,,,Washington Nationals,Cristian Jimenez (),,,,,
10-Jan,2023,Toronto Blue Jays,Zach Thompson (SP),,,,,,Pittsburgh Pirates,Chavez Young (CF),,,,,
9-Jan,2023,Philadelphia Phillies,Yunior Marte (RP),,,,,,San Francisco Giants,Erik Miller (P),,,,,
7-Jan,2023,Seattle Mariners,Justin Topa (RP),,,,,,Milwaukee Brewers,Joseph Hernandez (P),,,,,
7-Jan,2023,Detroit Tigers,Nick Maton (3B),Matt Vierling (RF),Donny Sands (C),,,,Philadelphia Phillies,Gregory Soto (RP),Kody Clemens (2B),,,,
4-Jan,2023,Philadelphia Phillies,Erich Uelmen (RP),,,,,,Chicago Cubs,cash considerations,,,,,
4-Jan,2023,Milwaukee Brewers,Bryse Wilson (RP),,,,,,Pittsburgh Pirates,cash considerations,,,,,
3-Jan,2023,Baltimore Orioles,"Ryan O'Hearn (1B)($1,400,000)",,,,,,Kansas City Royals,cash considerations,,,,,
3-Jan,2023,Detroit Tigers,cash considerations,,,,,,Houston Astros,Bligh Madris (OF),,,,,
31-Dec,2022,Baltimore Orioles,cash considerations,,,,,,Detroit Tigers,Tyler Nevin (3B),,,,,
29-Dec,2022,Texas Rangers,cash considerations,,,,,,Alanta Braves,Eli White (OF),,,,,
28-Dec,2022,New York Yankees,Caleb Durbin (SS),Indigo Diaz (P),,,,,Alanta Braves,Lucas Luetge (RP),,,,,
23-Dec,2022,Pittsburgh Pirates,Scott Randall (P),,,,,,Arizona Diamondbacks,Diego Castillo (2B),,,,,
23-Dec,2022,Toronto Blue Jays,Daulton Varsho (LF),,,,,,Arizona Diamondbacks,Gabriel Moreno (C),Lourdes Gurriel Jr. (OF),,,,
23-Dec,2022,Baltimore Orioles,cash considerations,,,,,,Alanta Braves,Lewin Diaz (1B),,,,,
22-Dec,2022,Chicago White Sox,Gregory Santos (RP),,,,,,San Francisco Giants,Kade McClure (P),,,,,
21-Dec,2022,Baltimore Orioles,James McCann (C),,,,,,New York Mets,Luis De La Cruz (),,,,,
18-Dec,2022,Pittsburgh Pirates,Connor Joe (LF),,,,,,Colorado Rockies,Nick Garcia (P),,,,,
16-Dec,2022,Boston Red Sox,Wyatt Mills (RP),,,,,,Kansas City Royals,Jacob Wallace (P),,,,,
16-Dec,2022,Oakland Athletics,cash considerations,,,,,,Los Angeles Dodgers,Yonny Hernandez (SS),,,,,
16-Dec,2022,Boston Red Sox,future considerations,,,,,,Alanta Braves,Hoy Jun Park (2B),,,,,
14-Dec,2022,Tampa Bay Rays,Jeff Belge (P),,,,,,Los Angeles Dodgers,J.P. Feyereisen (RP),,,,,
14-Dec,2022,Milwaukee Brewers,Owen Miller (SS),,,,,,Cleveland Gaurdians,future considerations,,,,,
13-Dec,2022,Cincinnati Reds,cash considerations,Jake Wong (P),,,,,San Francisco Giants,Blake Sabol (C),,,,,
12-Dec,2022,Oakland Athletics,Manuel Pina (C),Esteury Ruiz (CF),Kyle Muller (SP),Freddy Tarnok (SP),Royber Salinas (SP),,Alanta Braves,Sean Murphy (C),,,,,
12-Dec,2022,Oakland Athletics,,,,,,,Milwaukee Brewers,William Contreras (C),Justin Yeager (RP),Joel Payamps (RP),,,
7-Dec,2022,Tampa Bay Rays,Kevin Kelly (P),,,,,,Colorado Rockies,cash considerations,,,,,
7-Dec,2022,Pittsburgh Pirates,future considerations,,,,,,San Francisco Giants,Blake Sabol (C),,,,,
7-Dec,2022,Tampa Bay Rays,Keyshawn Askew (P),,,,,,New York Mets,Brooks Raley (RP),,,,,
7-Dec,2022,Detroit Tigers,Justyn-Henry Malloy (3B),Jake Higginbotham (P),,,,,Alanta Braves,Joe Jimenez (RP),,,,,
6-Dec,2022,Oakland Athletics,Chad Smith (RP),,,,,,Colorado Rockies,Jeff Criswell (P),,,,,
2-Dec,2022,Seattle Mariners,"Kolten Wong (2B)($8,250,000)",$1.75 million,,,,,Milwaukee Brewers,"Jesse Winker (RF)($8,250,000)",Abraham Toro-Hernandez (3B),,,,
23-Nov,2022,Los Angeles Angels,Hunter Renfroe (RF),,,,,,Milwaukee Brewers,Janson Junk (SP),Elvis Peguero (RP),Adam Seminaris (P),,,
23-Nov,2022,Boston Red Sox,Hoy Jun Park (2B),,,,,,Pittsburgh Pirates,Inmer Lobo (P),,,,,
18-Nov,2022,New York Mets,Elieser Hernandez (RP),Jeff Brigham (RP),,,,,Miami Marlins,Franklin Sanchez (),Jake Mangum (CF),,,,
18-Nov,2022,Cincinnati Reds,Kevin Newman (SS),,,,,,Pittsburgh Pirates,Dauri Moreta (RP),,,,,
18-Nov,2022,Tampa Bay Rays,TBD,,,,,,Milwaukee Brewers,Javier Guerra (RP),,,,,
18-Nov,2022,Minnesota Twins,Kyle Farmer (SS),,,,,,Cincinnati Reds,Casey Legumina (P),,,,,
18-Nov,2022,Minnesota Twins,Alejandro Hidalgo (P),,,,,,Los Angeles Angels,Giovanny Urshela (1B),,,,,
17-Nov,2022,Seattle Mariners,Cooper Hummel (LF),,,,,,Arizona Diamondbacks,Kyle Lewis (OF),,,,,
16-Nov,2022,Toronto Blue Jays,Erik Swanson (RP),Adam Macko (P),,,,,Seattle Mariners,Teoscar Hernandez (RF),,,,,
15-Nov,2022,Tampa Bay Rays,Tristan Peters (OF),,,,,,San Francisco Giants,Brett Wisely (2B),,,,,
15-Nov,2022,Tampa Bay Rays,Alfredo Zarraga (),,,,,,Chicago Cubs,Miles Mastrobuoni (LF),,,,,
15-Nov,2022,Texas Rangers,cash considerations,,,,,,Alanta Braves,Dennis Santana (RP),,,,,
15-Nov,2022,Tampa Bay Rays,Marcus Johnson (RP),Santiago Suarez (P),,,,,Miami Marlins,J.T. Chargois (RP),Xavier Edwards (SS),,,,
15-Nov,2022,Detroit Tigers,Steele Walker (OF),,,,,,San Francisco Giants,cash considerations,,,,,
15-Nov,2022,Arizona Diamondbacks,Carlos Vargas (RP),,,,,,Cleveland Gaurdians,Ross Carver (P),,,,,
15-Nov,2022,Colorado Rockies,Nolan Jones (3B),,,,,,Cleveland Gaurdians,Juan Brito (SS),,,,,
10-Nov,2022,Milwaukee Brewers,Payton Henry (C),,,,,,Miami Marlins,Reminton Batista (OF),,,,,
10-Nov,2022,Tampa Bay Rays,Jack Hartman (P),,,,,,Pittsburgh Pirates,Ji-Man Choi (1B),,,,,
10-Nov,2022,Texas Rangers,cash considerations,,,,,,Cincinnati Reds,Nick Solak (LF),,,,,
9-Nov,2022,Texas Rangers,$10M cash,"Jake Odorizzi (SP)($2,500,000)",,,,,Alanta Braves,Kolby Allard (SP),,,,,
9-Nov,2022,Boston Red Sox,,,,,,,Seattle Mariners,Easton McGee (SP),,,,,
9-Nov,2022,St. Louis Cardninals,Jose Fermin (2B),,,,,,Cleveland Gaurdians,cash considerations,,,,,
6-Nov,2022,Alanta Braves,Sam Hilliard (CF),,,,,,Colorado Rockies,Dylan Spain (P),,,,,
